"","Year","Rank","Title","Description","Runtime","Genre","Rating","Metascore","Votes","Gross_earnings","Director","Actor","PG"
"1",2019,1,"Arrival","A linguist works with the military to communicate with alien lifeforms after twelve mysterious spacecraft appear around the world.",116,"Drama",7.9,81,735965,100.5,"Denis Villeneuve","Amy Adams","12A"
"2",2019,2,"Hacksaw Ridge","World War II American Army Medic Desmond T. Doss, serving during the Battle of Okinawa, refuses to kill people and becomes the first man in American history to receive the Medal of Honor without firing a shot.",139,"Biography",8.1,71,566534,67.21,"Mel Gibson","Andrew Garfield","15"
"3",2019,3,"My Big Fat Greek Wedding 2","A Portokalos family secret brings the beloved characters back together for an even bigger and Greeker wedding.",94,"Comedy",6,37,33314,59.69,"Kirk Jones","Nia Vardalos","12A"
"4",2019,4,"Sausage Party","A sausage strives to discover the truth about his existence.",89,"Animation",6.1,66,204138,97.69,"Conrad Vernon","Seth Rogen","15"
"5",2019,5,"La La Land","While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future.",128,"Comedy",8,94,633706,151.1,"Damien Chazelle","Ryan Gosling","12A"
"6",2019,6,"The Nice Guys","In 1970s Los Angeles, a mismatched pair of private eyes investigate a missing girl and the mysterious death of a porn star.",116,"Action",7.4,70,353987,36.26,"Shane Black","Russell Crowe","15"
"7",2019,7,"Suicide Squad","A secret government agency recruits some of the most dangerous incarcerated super-villains to form a defensive task force. Their first mission: save the world from the apocalypse.",123,"Action",5.9,40,707589,325.1,"David Ayer","Will Smith","15"
"8",2019,8,"The Conjuring 2","Ed and Lorraine Warren travel to North London to help a single mother raising four children alone in a house plagued by a supernatural spirit.",134,"Horror",7.3,65,288633,102.4,"James Wan","Vera Farmiga","15"
"9",2019,9,"Me Before You","A girl in a small town forms an unlikely bond with a recently-paralyzed man she's taking care of.",106,"Drama",7.4,51,274091,56.25,"Thea Sharrock","Emilia Clarke","12A"
"10",2019,10,"The Magnificent Seven","Seven gunmen from a variety of backgrounds are brought together by a vengeful young widow to protect her town from the private army of a destructive industrialist.",132,"Action",6.9,54,222609,93.43,"Antoine Fuqua","Denzel Washington","12A"
"11",2019,11,"The Handmaiden","A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her.",145,"Drama",8.1,85,162428,2.01,"Park Chan-wook","Kim Min-hee","18"
"12",2019,12,"Rogue One","In a time of conflict, a group of unlikely heroes band together on a mission to steal the plans to the Death Star, the Empire's ultimate weapon of destruction.",133,"Action",7.8,65,666982,532.1,"Gareth Edwards","Felicity Jones","12A"
"13",2019,13,"Fences","A working-class African-American father tries to raise his family in the 1950s, while coming to terms with the events of his life.",139,"Drama",7.2,79,114001,57.68,"Denzel Washington","Denzel Washington","12A"
"14",2019,14,"Moana","In Ancient Polynesia, when a terrible curse incurred by the Demigod Maui reaches Moana's island, she answers the Ocean's call to seek out the Demigod to set things right.",107,"Animation",7.6,81,360349,248.7,"Ron Clements","Auli'i Cravalho","PG"
"15",2019,15,"Split","Three girls are kidnapped by a man with a diagnosed 23 distinct personalities. They must try to escape before the apparent emergence of a frightful new 24th.",117,"Horror",7.3,63,528357,138.2,"M. Night Shyamalan","James McAvoy","15"
"16",2019,16,"Jack Reacher: Never Go Back","Jack Reacher must uncover the truth behind a major government conspiracy in order to clear his name while on the run as a fugitive from the law.",118,"Action",6.1,47,168722,58.7,"Edward Zwick","Tom Cruise","12A"
"17",2019,17,"Zootropolis","In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.",108,"Animation",8,78,526477,341.2,"Byron Howard","Ginnifer Goodwin","PG"
"18",2019,18,"Deadpool","A wisecracking mercenary gets experimented on and becomes immortal yet hideously scarred, and sets out to track down the man who ruined his looks.",108,"Action",8,65,1087474,363,"Tim Miller","Ryan Reynolds","15"
"19",2019,19,"Batman v Superman: Dawn of Justice","Batman is manipulated by Lex Luthor to fear Superman. Superman´s existence is meanwhile dividing the world and he is framed for murder during an international crisis. The heroes clash and force the neutral Wonder Woman to reemerge.",151,"Action",6.5,44,739705,330.3,"Zack Snyder","Ben Affleck","12A"
"20",2019,20,"Sing","In a city of humanoid animals, a hustling theater impresario's attempt to save his theater with a singing competition becomes grander than he anticipates even as its finalists find that their lives will never be the same.",108,"Animation",7.1,59,182934,270.4,"Garth Jennings","Matthew McConaughey","U"
"21",2019,21,"Terrifier","On Halloween night, Tara Heyes finds herself as the obsession of a sadistic murderer known as Art the Clown.",85,"Horror",5.6,NA,45717,NA,"Damien Leone","Jenna Kanell","18"
"22",2019,22,"Hidden Figures","The story of a team of female African-American mathematicians who served a vital role in NASA during the early years of the U.S. space program.",127,"Biography",7.8,74,245668,169.6,"Theodore Melfi","Taraji P. Henson","PG"
"23",2019,23,"Passengers","A malfunction in a sleeping pod on a spacecraft traveling to a distant colony planet wakes one passenger 90 years early.",116,"Drama",7,41,429671,100,"Morten Tyldum","Jennifer Lawrence","12A"
"24",2019,24,"Nocturnal Animals","A wealthy art gallery owner is haunted by her ex-husband's novel, a violent thriller she interprets as a symbolic revenge tale.",116,"Drama",7.5,67,294335,10.66,"Tom Ford","Amy Adams","15"
"25",2019,25,"Your Name.","Two teenagers share a profound, magical connection upon discovering they are swapping bodies. Things manage to become even more complicated when the boy and girl decide to meet in person.",106,"Animation",8.4,81,298579,5.02,"Makoto Shinkai","Ryunosuke Kamiki","12A"
"26",2019,26,"The Founder","The story of Ray Kroc, a salesman who turned two brothers' innovative fast food eatery, McDonald's, into the biggest restaurant business in the world, with a combination of ambition, persistence, and ruthlessness.",115,"Biography",7.2,66,166954,12.79,"John Lee Hancock","Michael Keaton","12A"
"27",2019,27,"Manchester by the Sea","A depressed uncle is asked to take care of his teenage nephew after the boy's father dies.",137,"Drama",7.8,96,299818,47.7,"Kenneth Lonergan","Casey Affleck","15"
"28",2019,28,"The Legend of Tarzan","Tarzan, having acclimated to life in London, is called back to his former home in the jungle to investigate the activities at a mining encampment.",110,"Action",6.2,44,183282,126.6,"David Yates","Alexander Skarsgård","12A"
"29",2019,29,"The Bad Batch","In a desert dystopia, a young woman is kidnapped by cannibals.",118,"Action",5.2,62,34273,0.18,"Ana Lily Amirpour","Suki Waterhouse","15"
"30",2019,30,"Fantastic Beasts and Where to Find Them","The adventures of writer Newt Scamander in New York's secret community of witches and wizards seventy years before Harry Potter reads his book in school.",132,"Adventure",7.2,66,494498,234,"David Yates","Eddie Redmayne","12A"
"31",2019,31,"Train to Busan","While a zombie virus breaks out in South Korea, passengers struggle to survive on the train from Seoul to Busan.",118,"Action",7.6,73,241778,2.13,"Sang-ho Yeon","Gong Yoo","15"
"32",2019,32,"Hell or High Water","Toby is a divorced father who's trying to make a better life. His brother is an ex-con with a short temper and a loose trigger finger. Together, they plan a series of heists against the bank that's about to foreclose on their family ranch.",102,"Crime",7.6,88,242851,27.01,"David Mackenzie","Chris Pine","15"
"33",2019,33,"10 Cloverfield Lane","A young woman is held in an underground bunker by a man who insists that a hostile event has left the surface of the Earth uninhabitable.",103,"Drama",7.2,76,344451,72.08,"Dan Trachtenberg","John Goodman","12A"
"34",2019,34,"Shin Godzilla","Japan is plunged into chaos upon the appearance of a giant monster.",120,"Action",6.8,67,30775,1.92,"Hideaki Anno","Hiroki Hasegawa","12A"
"35",2019,35,"The Autopsy of Jane Doe","A father and son, both coroners, are pulled into a complex mystery while attempting to identify the body of a young woman, who was apparently harboring dark secrets.",86,"Horror",6.8,65,130581,0.01,"André Øvredal","Brian Cox","15"
"36",2019,36,"Love Machine","Director Pavel Ruminov wanted to break up with his girlfriend. But she had a different opinion on the matter and refused to leave the flat, insisting their story was not over yet.",79,"Drama",3.9,NA,886,NA,"Pavel Ruminov","Natalya Anisimova","Mature"
"37",2019,37,"Teenage Mutant Ninja Turtles: Out of the Shadows","The Turtles get into another battle with their enemy the Shredder, who has acquired new allies: the mutant thugs Bebop and Rocksteady and the alien being Krang.",112,"Action",5.9,40,97673,82.05,"Dave Green","Megan Fox","12A"
"38",2019,38,"X-Men: Apocalypse","In the 1980s the X-Men must defeat an ancient all-powerful mutant, En Sabah Nur, who intends to thrive through bringing destruction to the world.",144,"Action",6.9,52,451199,155.4,"Bryan Singer","James McAvoy","12A"
"39",2019,39,"Captain America: Civil War","Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man.",147,"Action",7.8,75,826034,408,"Anthony Russo","Chris Evans","12A"
"40",2019,40,"Captain Fantastic","In the forests of the Pacific Northwest, a father devoted to raising his six kids with a rigorous physical and intellectual education is forced to leave his paradise and enter the world, challenging his idea of what it means to be a parent.",118,"Comedy",7.8,72,228680,5.88,"Matt Ross","Viggo Mortensen","15"
"41",2019,41,"13 Hours","During an attack on a U.S. compound in Libya, a security team struggles to make sense out of the chaos.",144,"Action",7.3,48,153508,52.85,"Michael Bay","John Krasinski","15"
"42",2019,42,"Moonlight","A young African-American man grapples with his identity and sexuality while experiencing the everyday struggles of childhood, adolescence, and burgeoning adulthood.",111,"Drama",7.4,99,322801,27.85,"Barry Jenkins","Mahershala Ali","15"
"43",2019,43,"Star Trek Beyond","The crew of the USS Enterprise explores the furthest reaches of uncharted space, where they encounter a new ruthless enemy, who puts them, and everything the Federation stands for, to the test.",122,"Action",7,68,254251,158.8,"Justin Lin","Chris Pine","12A"
"44",2019,44,"Below Her Mouth","An unexpected affair quickly escalates into a heart-stopping reality for two women whose passionate connection changes their lives forever.",94,"Drama",5.5,42,13663,NA,"April Mullen","Erika Linder","18"
